timestamp,side,symbol,instrument_key,qty,entry_price,sl_price,tgt_price,reason
2025-12-24T10:32:00,BUY,niso-bot,NSE_FO|65647,150,91.45,73.16,118.89,ENTRY
2025-12-24T11:21:38,SELL,niso-bot,NSE_FO|65647,150,,73.16,118.89,EXIT_TRAIL
2025-12-24T12:48:04,BUY,niso-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,77.0,61.6,100.1,ENTRY
2025-12-24T13:38:00,BUY,niso-bot,NSE_FO|65634,26150.0 PE 2025-12-30,150,72.5,58.0,94.25,ENTRY
