timestamp,side,symbol,instrument_key,qty,entry_price,sl_price,tgt_price,reason
2025-12-19T12:27:06,BUY,niso-bot,NSE_FO|57004,150,86.45,69.16,112.39,ENTRY
2025-12-19T12:37:23,SELL,niso-bot,NSE_FO|57004,150,,69.16,112.39,EXIT_TRAIL
2025-12-24T10:32:00,BUY,niso-bot,NSE_FO|65647,150,91.45,73.16,118.89,ENTRY
2025-12-24T11:21:38,SELL,niso-bot,NSE_FO|65647,150,,73.16,118.89,EXIT_TRAIL
2025-12-24T12:47:43,BUY,niso-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,76.55,61.24,99.52,ENTRY
2025-12-24T12:48:04,BUY,niso-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,77.0,61.6,100.1,ENTRY
2025-12-24T13:38:00,BUY,niso-bot,NSE_FO|65634,26150.0 PE 2025-12-30,150,72.5,58.0,94.25,ENTRY
2025-12-24T13:53:14,BUY,niso-bot,NSE_FO|65634,26150.0 PE 2025-12-30,150,66.35,53.08,86.25,ENTRY
