timestamp,side,symbol,instrument_key,qty,entry_price,sl_price,tgt_price,reason
2025-12-23T12:36:47,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,15.5,12.4,20.15,ENTRY,0.0
2025-12-23T13:01:32,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,17.25,13.8,22.43,ENTRY,0.0
2025-12-23T13:05:17,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,14.85,11.88,19.3,ENTRY,0.0
2025-12-23T13:06:55,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,14.4,11.52,18.72,ENTRY,0.0
2025-12-23T13:11:32,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,15.2,12.16,19.76,ENTRY,0.0
2025-12-23T13:12:29,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,14.35,11.48,18.66,ENTRY,0.0
2025-12-23T13:15:07,SELL,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,11.7,11.48,18.66,EXIT_TRAIL,-397.5
2025-12-23T13:15:39,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,12.55,10.04,16.32,ENTRY,0.0
2025-12-23T13:17:46,SELL,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,16.7,10.04,16.32,EXIT_TARGET,622.5
2025-12-23T13:18:18,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,16.15,12.92,20.99,ENTRY,0.0
2025-12-23T13:25:40,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,14.15,11.32,18.39,ENTRY,0.0
2025-12-23T15:07:29,BUY,niso-ema-bot,NSE_FO|57013,26150.0 CE 2025-12-23,150,26.35,21.08,34.26,ENTRY,0.0
2025-12-23T16:03:40,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,0.05,0.04,0.07,ENTRY,0.0
2025-12-23T16:14:31,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,0.05,0.04,0.07,ENTRY,0.0
2025-12-23T16:20:21,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,0.05,0.04,0.07,ENTRY,0.0
2025-12-23T18:17:32,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,0.05,0.04,0.07,ENTRY,0.0
2025-12-23T20:13:23,BUY,niso-ema-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,0.05,0.04,0.07,ENTRY,0.0
2025-12-23T23:13:15,BUY,niso-multi-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,0.05,0.04,0.07,ENTRY,0.0
2025-12-23T23:22:07,BUY,niso-multi-bot,NSE_FO|57020,26200.0 CE 2025-12-23,150,0.05,0.04,0.07,ENTRY,0.0
2025-12-24T09:35:39,BUY,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,77.6,62.08,100.88,ENTRY,0.0
2025-12-24T09:37:19,BUY,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,78.55,62.84,102.11,ENTRY,0.0
2025-12-24T10:12:09,SELL,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,,62.08,100.88,EXIT_TRAIL,-735.0
2025-12-24T10:12:13,SELL,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,,62.84,102.11,EXIT_TRAIL,-840.0
2025-12-24T10:12:42,BUY,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,74.5,59.6,96.85,ENTRY,0.0
2025-12-24T10:12:46,BUY,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,74.9,59.92,97.37,ENTRY,0.0
2025-12-24T10:18:57,BUY,niso-ema-bot,NSE_FO|65647,26250.0 PE 2025-12-30,150,90.7,72.56,117.91,ENTRY,0.0
2025-12-24T10:20:41,BUY,niso-ema-bot,NSE_FO|65647,26250.0 PE 2025-12-30,150,93.15,74.52,121.1,ENTRY,0.0
2025-12-24T11:21:27,SELL,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,,59.92,97.37,EXIT_TRAIL,-427.5
2025-12-24T11:21:52,SELL,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,,59.6,96.85,EXIT_TRAIL,-457.5
2025-12-24T11:22:00,BUY,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,71.15,56.92,92.5,ENTRY,0.0
2025-12-24T11:22:24,BUY,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,71.95,57.56,93.54,ENTRY,0.0
2025-12-24T12:19:01,SELL,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,,56.92,92.5,EXIT_TRAIL,390.0
2025-12-24T12:19:21,SELL,niso-ema-bot,NSE_FO|65639,26200.0 PE 2025-12-30,150,,57.56,93.54,EXIT_TRAIL,322.5
